customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0089-CUST,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,79.16,3113.41,No
0090-CUST,Female,0,Yes,No,70,Yes,No,No,No,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),102.11,6482.96,Yes
0091-CUST,Female,0,Yes,No,18,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,No,Bank transfer (automatic),46.86,829.17,No
0092-CUST,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,65.08,1681.34,No
0093-CUST,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.79,1648.41,Yes
0094-CUST,Female,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.63,531.97,Yes
0095-CUST,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),111.76,0.0,Yes
0096-CUST,Female,0,Yes,No,33,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),33.76,1011.28,Yes
0097-CUST,Female,0,Yes,No,12,Yes,No,No,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),66.51,782.31,No
0098-CUST,Female,1,Yes,No,50,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),82.66,3943.34,No
0099-CUST,Male,0,Yes,No,0,No,Yes,DSL,No internet service,No,Yes,No internet service,No,Yes,One year,Yes,Credit card (automatic),66.08,0.0,No
0100-CUST,Male,0,No,No,27,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,60.09,1578.61,Yes
0101-CUST,Female,0,No,No,31,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No,Two year,No,Bank transfer (automatic),82.95,2529.52,No
0102-CUST,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Mailed check,108.59,7542.52,Yes
0103-CUST,Female,0,No,No,54,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,Yes,No internet service,One year,No,Electronic check,85.59,4539.18,No
0104-CUST,Female,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,81.66,2014.54,No
0105-CUST,Female,0,No,Yes,13,Yes,Yes,No,No internet service,No internet service,No,No,No,Yes,One year,No,Electronic check,94.0,1157.03,No
0106-CUST,Female,0,No,No,67,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),59.21,3831.9,No
0107-CUST,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,19.77,1175.54,No
0108-CUST,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),113.77,1350.02,Yes
0109-CUST,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),49.24,1182.81,Yes
0110-CUST,Female,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,96.35,3534.81,Yes
0111-CUST,Male,0,No,No,2,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),78.11,150.74,Yes
0112-CUST,Female,0,No,No,58,Yes,Yes,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,88.81,5080.53,Yes
0113-CUST,Female,0,Yes,No,22,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,101.42,2177.32,Yes
0114-CUST,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),68.24,1087.83,No
0115-CUST,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,21.47,829.44,No
0116-CUST,Male,1,No,No,7,Yes,No phone service,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),116.25,765.73,Yes
0117-CUST,Female,0,No,No,31,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,Yes,Credit card (automatic),99.9,2872.22,No
0118-CUST,Female,1,No,No,40,Yes,Yes,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),83.52,3305.24,No
0119-CUST,Male,0,Yes,No,44,No,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.65,4400.4,Yes
0120-CUST,Female,0,Yes,No,8,No,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,112.23,865.02,Yes
0121-CUST,Male,0,No,No,47,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,One year,No,Mailed check,107.48,4925.59,No
0122-CUST,Female,0,Yes,No,23,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,32.53,719.65,No
0123-CUST,Male,0,No,Yes,43,Yes,No,DSL,No,No internet service,No internet service,No,No,No,Two year,No,Bank transfer (automatic),92.34,3621.25,No
0124-CUST,Male,0,No,Yes,57,Yes,Yes,No,No,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Electronic check,50.53,2669.84,No
0125-CUST,Female,0,No,No,65,Yes,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),22.32,1307.84,No
0126-CUST,Female,0,No,Yes,17,Yes,Yes,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,46.45,770.59,No
0127-CUST,Male,0,No,No,28,Yes,Yes,No,Yes,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.77,2180.13,No
0128-CUST,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,111.11,109.51,Yes
0129-CUST,Female,0,No,Yes,67,Yes,No,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),88.46,5432.2,Yes
0130-CUST,Female,0,No,Yes,38,Yes,No,No,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.33,2753.94,No
0131-CUST,Male,0,No,Yes,72,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.04,3425.46,No
0132-CUST,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,Yes,One year,Yes,Bank transfer (automatic),40.59,1547.74,No
0133-CUST,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,74.26,4987.04,Yes
0134-CUST,Male,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,Yes,One year,No,Electronic check,67.35,1305.23,No
0135-CUST,Male,0,Yes,No,48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.89,3968.66,Yes
0136-CUST,Male,0,No,No,27,Yes,No,DSL,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Electronic check,72.84,1793.04,No
0137-CUST,Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No internet service,No,No,No,Two year,No,Electronic check,60.42,887.07,No
0138-CUST,Male,0,No,No,67,Yes,No,No,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.43,6847.47,No
0139-CUST,Male,0,No,No,61,Yes,No,No,No internet service,No internet service,No,Yes,No internet service,No,One year,Yes,Mailed check,99.1,5596.84,No
0140-CUST,Female,0,No,No,35,No,No,No,No internet service,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,100.97,3273.93,Yes
0141-CUST,Male,0,No,Yes,21,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),27.29,550.72,No
0142-CUST,Female,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Two year,No,Electronic check,33.22,319.21,Yes
0143-CUST,Female,1,Yes,Yes,41,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),38.44,1534.01,Yes
0144-CUST,Female,1,No,Yes,54,No,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,110.81,5443.13,Yes
0145-CUST,Male,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Mailed check,54.9,3823.16,Yes
0146-CUST,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,84.82,2807.6,Yes
0147-CUST,Male,0,Yes,No,56,Yes,No,No,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,22.32,1159.79,No
0148-CUST,Male,0,No,No,33,Yes,No,No,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Credit card (automatic),92.79,2834.92,No
0149-CUST,Female,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),95.83,6668.36,No
0150-CUST,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Credit card (automatic),94.05,5916.16,No
0151-CUST,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.43,64.21,Yes
0152-CUST,Male,1,No,No,45,Yes,No phone service,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),28.02,1198.09,No
0153-CUST,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.75,906.8,Yes
0154-CUST,Male,1,Yes,No,60,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,81.94,4722.78,No
0155-CUST,Female,0,No,No,34,Yes,Yes,DSL,No,Yes,No,No internet service,No,Yes,One year,No,Bank transfer (automatic),55.13,1839.62,No
0156-CUST,Male,0,Yes,No,68,Yes,No phone service,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),74.54,4592.7,No
0157-CUST,Female,0,No,No,56,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),18.37,992.37,No
0158-CUST,Male,0,No,No,10,Yes,No,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),61.98,602.3,Yes
0159-CUST,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),35.04,377.44,Yes
0160-CUST,Male,0,No,Yes,42,No,No,DSL,Yes,Yes,No internet service,No internet service,No,Yes,Two year,No,Mailed check,116.53,4586.01,No
0161-CUST,Male,0,No,No,18,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),50.33,841.84,No
0162-CUST,Female,0,No,No,67,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,99.3,6429.96,Yes
0163-CUST,Female,1,Yes,No,58,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,30.97,1709.15,No
0164-CUST,Female,0,No,Yes,1,No,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,36.37,34.1,Yes
0165-CUST,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),89.2,608.48,Yes
0166-CUST,Female,0,Yes,No,21,Yes,Yes,No,No internet service,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,96.84,1928.11,Yes
0167-CUST,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,109.67,2074.51,Yes
0168-CUST,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,88.83,2327.69,Yes
0169-CUST,Female,0,Yes,No,36,No,No,DSL,Yes,Yes,No internet service,No,No,Yes,One year,No,Bank transfer (automatic),90.17,2937.44,No
0170-CUST,Female,0,Yes,Yes,28,Yes,No phone service,DSL,No internet service,Yes,Yes,Yes,No internet service,No,Two year,No,Electronic check,41.72,1148.72,No
0171-CUST,Male,0,No,No,36,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,114.48,3850.41,Yes
